식품코드,식품명,영양성분함량기준량,에너지,단백질,지방,탄수화물,당류,나트륨,콜레스테롤,포화지방산,트랜스지방산,식품중량,맛태그,재료태그,총칼로리
S-001,갈비탕,100,54,8.51,2.06,0.4,0.11,199,31.46,0.79,0.06,670,"구수,짭짤","채소, 소고기",361.8
S-002,감자국,100,21,0.9,0.26,3.67,0.85,215,0,0.03,0,400,"구수,짭짤",채소,84
S-003,곰탕,100,24,3.43,1.12,0.11,0,124,9.04,0.41,0.05,600,"구수,짭짤","채소, 소고기",144
S-004,곰탕_우거지,100,25,2.37,0.6,2.6,0.33,225,1.71,0.14,0,350,"구수,짭짤","채소, 소고기",87.5
S-005,굴국_무,100,25,2.41,0.36,2.93,0.14,251,8.78,0.09,0,500,"구수,짭짤","채소, 해산물",125
S-006,김치국,100,23,1.34,0.76,2.63,0.03,208,4.78,0.19,0,400,"매움,새콤,구수,짭짤",,92
S-007,김치국_콩나물,100,12,0.82,0.47,1.15,0.49,230,0.6,0.09,0,400,"매움,새콤,구수,짭짤",채소,48
S-008,내장탕,100,71,5.82,4.52,1.68,0.05,216,63.89,1.78,0.01,600,"구수,짭짤","채소, 소고기",426
S-009,달걀국,100,13,0.93,0.74,0.69,0,246,31.11,0.27,0,400,"구수,짭짤",계란,52
S-010,달걀탕_순두부,100,29,1.78,2.04,0.94,0,101,34.05,0.37,0,350,"구수,짭짤","두부, 계란",101.5
S-011,닭곰탕,100,51,7.51,1.42,2,0.3,170,36.02,0.3,0,650,"구수,짭짤",닭고기,331.5
S-012,도가니탕,100,40,8.35,0.33,0.82,0,150,18.34,0.13,0.01,500,"구수,짭짤","채소, 소고기",200
S-013,된장국_감자,100,25,1.09,0.6,3.7,0.77,357,0,0.05,0,400,"구수,짭짤",채소,100
S-014,된장국_냉이,100,22,1.71,0.66,2.2,0.3,236,0,0.09,0,400,"구수,짭짤",채소,88
S-015,된장국_미역,100,24,1.56,0.97,2.28,0.61,305,0,0.07,0,400,"구수,짭짤",해산물,96
S-016,된장국_배추,100,20,1.46,0.4,2.58,0,223,3.07,0.06,0,400,"구수,짭짤",채소,80
S-017,된장국_시금치,100,9,1.02,0.17,0.98,0.11,124,0.64,0.03,0,400,"구수,짭짤",채소,36
S-018,된장국_시래기,100,15,1.31,0.22,2.03,0,195,0.91,0.03,0,400,"구수,짭짤",채소,60
